F_moment_demand_N*mm,F_total_rebar_area_mm*mm,F_moment_arm_mm,R_rebar_carbon_kg/mm
2.8431039959986163e6,71.25573924808562,95.0,22.374302123898886
5.05440710399754e6,126.67686977437442,95.0,39.776537109153566
7.897511099996155e6,197.93260902246004,95.0,62.150839233052466
1.1372415983994465e7,285.0229569923425,95.0,89.49720849559554
1.5479121755992467e7,387.9479136840217,95.0,121.81564489678283
2.021762841599016e7,506.7074790974977,95.0,159.10614843661426
2.572243211061455e7,644.6724839753019,95.0,202.42715996824478
3.2609012872150533e7,817.2684930363542,95.0,256.6223068134152
4.018568901788443e7,1007.1601257615147,95.0,316.24827948911565
5.794282804446308e7,1452.2012041218818,95.0,455.9911780942708
1.0299749458164807e8,2581.390841645315,95.0,810.556724276629
5.686207991997233e6,142.51147849617124,95.0,44.74860424779777
1.010881420799508e7,253.35373954874885,95.0,79.55307421830713
1.579502219999231e7,395.8652180449201,95.0,124.30167846610493
2.274483196798893e7,570.045913984685,95.0,178.9944169911911
3.0958243511984933e7,775.8958273680435,95.0,243.63128979356566
4.043525683198032e7,1013.4149581949954,95.0,318.2122968732285
5.14448642212291e7,1289.3449679506039,95.0,404.85431993648956
6.5218025744301066e7,1634.5369860727085,95.0,513.2446136268304
8.037137803576887e7,2014.3202515230294,95.0,632.4965589782313
1.1588565608892617e8,2904.4024082437636,95.0,911.9823561885416
2.0599498916329613e8,5162.78168329063,95.0,1621.113448553258
8.52931198799585e6,213.76721774425687,95.0,67.12290637169666
1.5163221311992617e7,380.03060932312326,95.0,119.32961132746071
2.3692533299988467e7,593.7978270673801,95.0,186.4525176991574
3.41172479519834e7,855.0688709770275,95.0,268.49162548678663
4.6437365267977394e7,1163.843741052065,95.0,365.44693469034854
6.065288524797047e7,1520.122437292493,95.0,477.31844530984284
7.716729633184364e7,1934.0174519259058,95.0,607.2814799047344
9.78270386164516e7,2451.8054791090626,95.0,769.8669204402455
1.205570670536533e8,3021.480377284544,95.0,948.7448384673469
1.7382848413338923e8,4356.603612365645,95.0,1367.9735342828126
3.089924837449442e8,7744.172524935945,95.0,2431.6701728298867
1.1372415983994465e7,285.0229569923425,95.0,89.49720849559554
2.021762841599016e7,506.7074790974977,95.0,159.10614843661426
3.159004439998462e7,791.7304360898402,95.0,248.60335693220986
4.548966393597786e7,1140.09182796937,95.0,357.9888339823822
6.191648702396987e7,1551.791654736087,95.0,487.2625795871313
8.087051366396064e7,2026.8299163899908,95.0,636.424593746457
1.028897284424582e8,2578.6899359012077,95.0,809.7086398729791
1.3043605148860213e8,3269.073972145417,95.0,1026.4892272536608
1.6074275607153773e8,4028.6405030460587,95.0,1264.9931179564626
2.3177131217785233e8,5808.804816487527,95.0,1823.9647123770833
4.1198997832659227e8,10325.56336658126,95.0,3242.226897106516
2.6934669435776365e6,71.25573924808562,90.0,22.374302123898886
4.788385677471354e6,126.67686977437442,90.0,39.776537109153566
7.48185262104899e6,197.93260902246004,90.0,62.150839233052466
1.0773867774310546e7,285.0229569923425,90.0,89.49720849559554
1.466443113725602e7,387.9479136840217,90.0,121.81564489678283
1.9153542709885415e7,506.7074790974977,90.0,159.10614843661426
2.4368619894266415e7,644.6724839753019,90.0,202.42715996824478
3.0892749036774192e7,817.2684930363542,90.0,256.6223068134152
3.807065275378525e7,1007.1601257615147,90.0,316.24827948911565
5.489320551580713e7,1452.2012041218818,90.0,455.9911780942708
9.75765738141929e7,2581.390841645315,90.0,810.556724276629
5.386933887155273e6,142.51147849617124,90.0,44.74860424779777
9.576771354942707e6,253.35373954874885,90.0,79.55307421830713
1.496370524209798e7,395.8652180449201,90.0,124.30167846610493
2.1547735548621092e7,570.045913984685,90.0,178.9944169911911
2.932886227451204e7,775.8958273680435,90.0,243.63128979356566
3.830708541977083e7,1013.4149581949954,90.0,318.2122968732285
4.873723978853283e7,1289.3449679506039,90.0,404.85431993648956
6.1785498073548384e7,1634.5369860727085,90.0,513.2446136268304
7.61413055075705e7,2014.3202515230294,90.0,632.4965589782313
1.0978641103161426e8,2904.4024082437636,90.0,911.9823561885416
1.951531476283858e8,5162.78168329063,90.0,1621.113448553258
8.08040083073291e6,213.76721774425687,90.0,67.12290637169666
1.4365157032414058e7,380.03060932312326,90.0,119.32961132746071
2.244555786314697e7,593.7978270673801,90.0,186.4525176991574
3.232160332293164e7,855.0688709770275,90.0,268.49162548678663
4.399329341176806e7,1163.843741052065,90.0,365.44693469034854
5.746062812965623e7,1520.122437292493,90.0,477.31844530984284
7.310585968279923e7,1934.0174519259058,90.0,607.2814799047344
9.267824711032256e7,2451.8054791090626,90.0,769.8669204402455
1.1421195826135576e8,3021.480377284544,90.0,948.7448384673469
1.646796165474214e8,4356.603612365645,90.0,1367.9735342828126
2.9272972144257873e8,7744.172524935945,90.0,2431.6701728298867
1.0773867774310546e7,285.0229569923425,90.0,89.49720849559554
1.9153542709885415e7,506.7074790974977,90.0,159.10614843661426
2.992741048419596e7,791.7304360898402,90.0,248.60335693220986
4.3095471097242184e7,1140.09182796937,90.0,357.9888339823822
5.865772454902408e7,1551.791654736087,90.0,487.2625795871313
7.661417083954166e7,2026.8299163899908,90.0,636.424593746457
9.747447957706566e7,2578.6899359012077,90.0,809.7086398729791
1.2357099614709677e8,3269.073972145417,90.0,1026.4892272536608
1.52282611015141e8,4028.6405030460587,90.0,1264.9931179564626
2.1957282206322852e8,5808.804816487527,90.0,1823.9647123770833
3.903062952567716e8,10325.56336658126,90.0,3242.226897106516
2.5438298911566567e6,71.25573924808562,85.0,22.374302123898886
4.522364250945167e6,126.67686977437442,85.0,39.776537109153566
7.066194142101823e6,197.93260902246004,85.0,62.150839233052466
1.0175319564626627e7,285.0229569923425,85.0,89.49720849559554
1.3849740518519575e7,387.9479136840217,85.0,121.81564489678283
1.8089457003780667e7,506.7074790974977,85.0,159.10614843661426
2.301480767791828e7,644.6724839753019,85.0,202.42715996824478
2.9176485201397847e7,817.2684930363542,85.0,256.6223068134152
3.595561648968607e7,1007.1601257615147,85.0,316.24827948911565
5.1843582987151176e7,1452.2012041218818,85.0,455.9911780942708
9.215565304673775e7,2581.390841645315,85.0,810.556724276629
5.087659782313313e6,142.51147849617124,85.0,44.74860424779777
9.044728501890333e6,253.35373954874885,85.0,79.55307421830713
1.4132388284203647e7,395.8652180449201,85.0,124.30167846610493
2.0350639129253253e7,570.045913984685,85.0,178.9944169911911
2.769948103703915e7,775.8958273680435,85.0,243.63128979356566
3.617891400756133e7,1013.4149581949954,85.0,318.2122968732285
4.602961535583656e7,1289.3449679506039,85.0,404.85431993648956
5.8352970402795695e7,1634.5369860727085,85.0,513.2446136268304
7.191123297937214e7,2014.3202515230294,85.0,632.4965589782313
1.0368716597430235e8,2904.4024082437636,85.0,911.9823561885416
1.843113060934755e8,5162.78168329063,85.0,1621.113448553258
7.631489673469971e6,213.76721774425687,85.0,67.12290637169666
1.35670927528355e7,380.03060932312326,85.0,119.32961132746071
2.1198582426305473e7,593.7978270673801,85.0,186.4525176991574
3.0525958693879884e7,855.0688709770275,85.0,268.49162548678663
4.154922155555872e7,1163.843741052065,85.0,365.44693469034854
5.4268371011342e7,1520.122437292493,85.0,477.31844530984284
6.904442303375484e7,1934.0174519259058,85.0,607.2814799047344
8.752945560419354e7,2451.8054791090626,85.0,769.8669204402455
1.0786684946905822e8,3021.480377284544,85.0,948.7448384673469
1.5553074896145353e8,4356.603612365645,85.0,1367.9735342828126
2.7646695914021325e8,7744.172524935945,85.0,2431.6701728298867
1.0175319564626627e7,285.0229569923425,85.0,89.49720849559554
1.8089457003780667e7,506.7074790974977,85.0,159.10614843661426
2.8264776568407293e7,791.7304360898402,85.0,248.60335693220986
4.070127825850651e7,1140.09182796937,85.0,357.9888339823822
5.53989620740783e7,1551.791654736087,85.0,487.2625795871313
7.235782801512267e7,2026.8299163899908,85.0,636.424593746457
9.205923071167313e7,2578.6899359012077,85.0,809.7086398729791
1.1670594080559139e8,3269.073972145417,85.0,1026.4892272536608
1.438224659587443e8,4028.6405030460587,85.0,1264.9931179564626
2.073743319486047e8,5808.804816487527,85.0,1823.9647123770833
3.68622612186951e8,10325.56336658126,85.0,3242.226897106516
2.394192838735677e6,71.25573924808562,80.0,22.374302123898886
4.256342824418981e6,126.67686977437442,80.0,39.776537109153566
6.650535663154657e6,197.93260902246004,80.0,62.150839233052466
9.576771354942707e6,285.0229569923425,80.0,89.49720849559554
1.303504989978313e7,387.9479136840217,80.0,121.81564489678283
1.7025371297675923e7,506.7074790974977,80.0,159.10614843661426
2.1660995461570144e7,644.6724839753019,80.0,202.42715996824478
